,POPULATION,ZIPCODE,Id2,disability_r,edu_high_r,edu_low_r,employment_r,hh,hh_with6_r,utility_gas_r,tank_gas_r,electricity_r,fueloil_r,coal_r,other_fuels_r,occupied_hu_own_r,occupied_hu_rent_r,built_before1980_r,married_r,non_eng_r,below_poverty_r,pop,male_pop_r,female_pop_r,elder_pop_r,white_r,black_r,asian_r,native_r,towork_less30_r,towork_over30_r
190,0.0,10154,10154,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
191,0.0,10152,10152,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
192,0.0,10115,10115,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
193,33135.0,10022,10022,0.087,0.811,0.045,0.673,17892.0,0.00337581041806,0.39,0.023,0.24,0.262,0.0,0.055,0.485915492958,0.514084507042,0.878,0.435,0.232,0.051,30607.0,0.44058548698,0.55941451302,0.000882151141896,0.856242036136,0.0189499134185,0.101055314144,0.00251576436763,0.602017205577,0.397982794423
195,33459.0,10065,10065,0.072,0.825,0.066,0.698,16742.0,0.0031776370804,0.435,0.01,0.275,0.213,0.0,0.038,0.342491936447,0.657508063553,0.883,0.463,0.249,0.058,30237.0,0.439329298542,0.560670701458,0.000677977312564,0.864536825743,0.0302940106492,0.0824155835566,0.00165360320138,0.636175647731,0.363824352269
196,25203.0,10075,10075,0.076,0.807,0.054,0.683,14145.0,0.00292682926829,0.434,0.022,0.205,0.262,0.004,0.028,0.431742665253,0.568257334747,0.897,0.473,0.214,0.078,25756.0,0.415708961019,0.584291038981,0.000877465444945,0.895907749651,0.013394937102,0.0455427861469,0.0021354247554,0.395460558379,0.604539441621
197,5850.0,10069,10069,0.022,0.898,0.035,0.774,2850.0,0.0122807017544,0.307,0.013,0.578,0.061,0.0,0.014,0.245964912281,0.754035087719,0.042,0.5,0.316,0.079,5526.0,0.475931958017,0.524068041983,0.0009591024249,0.768186753529,0.0161056822295,0.176257690916,0.00289540354687,0.379082914573,0.620917085427
198,4017.0,10281,10281,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,4139.0,10282,10282,0.031,0.872,0.061,0.774,2439.0,0.0281672816728,0.26,0.0,0.688,0.017,0.0,0.014,0.0840508405084,0.915949159492,0.005,0.643,0.328,0.034,5730.0,0.526003490401,0.473996509599,0.00087260034904,0.705410122164,0.0134380453752,0.157417102967,0.00279232111693,0.593992932862,0.406007067138
200,60861.0,11211,11211,0.071,0.454,0.192,0.649,37381.0,0.000973756721329,0.673,0.022,0.122,0.158,0.0,0.009,0.158743746823,0.841256253177,0.726,0.394,0.567,0.305,97772.0,0.500010227877,0.499989772123,7.87546536841e-05,0.775477641861,0.0607126784765,0.0506791310396,0.00372294726507,0.373760932945,0.626239067055
201,101282.0,11373,11373,0.083,0.27,0.251,0.591,31351.0,0.000864406239035,0.669,0.021,0.048,0.243,0.0,0.008,0.269496985742,0.730503014258,0.896,0.46,0.872,0.206,98554.0,0.509588651907,0.490411348093,0.000120745986972,0.341295127544,0.0184771800231,0.494358422794,0.0051139476835,0.210830636462,0.789169363538
202,0.0,10279,10279,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
203,0.0,10165,10165,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,inf,,
